frame_index,epoch_ms,timestamp_iso_utc7
0,1765487439615,2025-12-12T04:10:39.615+07:00
1,1765487439693,2025-12-12T04:10:39.693+07:00
2,1765487439769,2025-12-12T04:10:39.769+07:00
3,1765487439845,2025-12-12T04:10:39.845+07:00
4,1765487439923,2025-12-12T04:10:39.923+07:00
5,1765487441582,2025-12-12T04:10:41.582+07:00
6,1765487441657,2025-12-12T04:10:41.657+07:00
7,1765487441733,2025-12-12T04:10:41.733+07:00
8,1765487441811,2025-12-12T04:10:41.811+07:00
9,1765487441893,2025-12-12T04:10:41.893+07:00
10,1765487441975,2025-12-12T04:10:41.975+07:00
11,1765487442058,2025-12-12T04:10:42.058+07:00
12,1765487442140,2025-12-12T04:10:42.140+07:00
13,1765487442234,2025-12-12T04:10:42.234+07:00
14,1765487442315,2025-12-12T04:10:42.315+07:00
15,1765487442392,2025-12-12T04:10:42.392+07:00
16,1765487442478,2025-12-12T04:10:42.478+07:00
17,1765487442567,2025-12-12T04:10:42.567+07:00
18,1765487442645,2025-12-12T04:10:42.645+07:00
19,1765487442733,2025-12-12T04:10:42.733+07:00
20,1765487442816,2025-12-12T04:10:42.816+07:00
21,1765487442902,2025-12-12T04:10:42.902+07:00
22,1765487442985,2025-12-12T04:10:42.985+07:00
23,1765487443066,2025-12-12T04:10:43.066+07:00
24,1765487443147,2025-12-12T04:10:43.147+07:00
25,1765487443233,2025-12-12T04:10:43.233+07:00
26,1765487443311,2025-12-12T04:10:43.311+07:00
27,1765487443392,2025-12-12T04:10:43.392+07:00
28,1765487443474,2025-12-12T04:10:43.474+07:00
29,1765487443559,2025-12-12T04:10:43.559+07:00
30,1765487443642,2025-12-12T04:10:43.642+07:00
31,1765487443724,2025-12-12T04:10:43.724+07:00
32,1765487443802,2025-12-12T04:10:43.802+07:00
33,1765487443891,2025-12-12T04:10:43.891+07:00
34,1765487443975,2025-12-12T04:10:43.975+07:00
35,1765487444052,2025-12-12T04:10:44.052+07:00
36,1765487444132,2025-12-12T04:10:44.132+07:00
37,1765487444224,2025-12-12T04:10:44.224+07:00
38,1765487444310,2025-12-12T04:10:44.310+07:00
39,1765487444393,2025-12-12T04:10:44.393+07:00
40,1765487444474,2025-12-12T04:10:44.474+07:00
41,1765487444564,2025-12-12T04:10:44.564+07:00
42,1765487444650,2025-12-12T04:10:44.650+07:00
43,1765487444739,2025-12-12T04:10:44.739+07:00
44,1765487444816,2025-12-12T04:10:44.816+07:00
45,1765487444900,2025-12-12T04:10:44.900+07:00
46,1765487444992,2025-12-12T04:10:44.992+07:00
47,1765487445080,2025-12-12T04:10:45.080+07:00
48,1765487445162,2025-12-12T04:10:45.162+07:00
49,1765487445253,2025-12-12T04:10:45.253+07:00
50,1765487445331,2025-12-12T04:10:45.331+07:00
51,1765487445417,2025-12-12T04:10:45.417+07:00
52,1765487445505,2025-12-12T04:10:45.505+07:00
53,1765487445589,2025-12-12T04:10:45.589+07:00
54,1765487445674,2025-12-12T04:10:45.674+07:00
55,1765487445763,2025-12-12T04:10:45.763+07:00
56,1765487445851,2025-12-12T04:10:45.851+07:00
57,1765487445950,2025-12-12T04:10:45.950+07:00
58,1765487446042,2025-12-12T04:10:46.042+07:00
59,1765487446127,2025-12-12T04:10:46.127+07:00
60,1765487446220,2025-12-12T04:10:46.220+07:00
61,1765487446314,2025-12-12T04:10:46.314+07:00
62,1765487446404,2025-12-12T04:10:46.404+07:00
63,1765487446498,2025-12-12T04:10:46.498+07:00
64,1765487446593,2025-12-12T04:10:46.593+07:00
65,1765487446702,2025-12-12T04:10:46.702+07:00
66,1765487446802,2025-12-12T04:10:46.802+07:00
67,1765487446899,2025-12-12T04:10:46.899+07:00
68,1765487447001,2025-12-12T04:10:47.001+07:00
69,1765487447095,2025-12-12T04:10:47.095+07:00
70,1765487447193,2025-12-12T04:10:47.193+07:00
71,1765487447293,2025-12-12T04:10:47.293+07:00
72,1765487447393,2025-12-12T04:10:47.393+07:00
73,1765487447491,2025-12-12T04:10:47.491+07:00
74,1765487447595,2025-12-12T04:10:47.595+07:00
75,1765487447700,2025-12-12T04:10:47.700+07:00
76,1765487447791,2025-12-12T04:10:47.791+07:00
77,1765487447900,2025-12-12T04:10:47.900+07:00
78,1765487447997,2025-12-12T04:10:47.997+07:00
79,1765487448087,2025-12-12T04:10:48.087+07:00
80,1765487448182,2025-12-12T04:10:48.182+07:00
81,1765487448291,2025-12-12T04:10:48.291+07:00
82,1765487448377,2025-12-12T04:10:48.377+07:00
83,1765487448470,2025-12-12T04:10:48.470+07:00
84,1765487448553,2025-12-12T04:10:48.553+07:00
85,1765487448651,2025-12-12T04:10:48.651+07:00
86,1765487448742,2025-12-12T04:10:48.742+07:00
87,1765487448819,2025-12-12T04:10:48.819+07:00
88,1765487448908,2025-12-12T04:10:48.908+07:00
89,1765487448999,2025-12-12T04:10:48.999+07:00
90,1765487449093,2025-12-12T04:10:49.093+07:00
91,1765487449187,2025-12-12T04:10:49.187+07:00
92,1765487449273,2025-12-12T04:10:49.273+07:00
93,1765487449380,2025-12-12T04:10:49.380+07:00
94,1765487449476,2025-12-12T04:10:49.476+07:00
95,1765487449576,2025-12-12T04:10:49.576+07:00
96,1765487449668,2025-12-12T04:10:49.668+07:00
97,1765487449767,2025-12-12T04:10:49.767+07:00
98,1765487449864,2025-12-12T04:10:49.864+07:00
99,1765487449952,2025-12-12T04:10:49.952+07:00
100,1765487450042,2025-12-12T04:10:50.042+07:00
101,1765487450141,2025-12-12T04:10:50.141+07:00
102,1765487450229,2025-12-12T04:10:50.229+07:00
103,1765487450326,2025-12-12T04:10:50.326+07:00
104,1765487450421,2025-12-12T04:10:50.421+07:00
105,1765487450520,2025-12-12T04:10:50.520+07:00
106,1765487450614,2025-12-12T04:10:50.614+07:00
107,1765487450712,2025-12-12T04:10:50.712+07:00
108,1765487450806,2025-12-12T04:10:50.806+07:00
109,1765487450904,2025-12-12T04:10:50.904+07:00
110,1765487450989,2025-12-12T04:10:50.989+07:00
111,1765487451075,2025-12-12T04:10:51.075+07:00
112,1765487451166,2025-12-12T04:10:51.166+07:00
113,1765487451260,2025-12-12T04:10:51.260+07:00
114,1765487451349,2025-12-12T04:10:51.349+07:00
115,1765487451441,2025-12-12T04:10:51.441+07:00
116,1765487451520,2025-12-12T04:10:51.520+07:00
117,1765487451617,2025-12-12T04:10:51.617+07:00
118,1765487451705,2025-12-12T04:10:51.705+07:00
119,1765487451796,2025-12-12T04:10:51.796+07:00
120,1765487451880,2025-12-12T04:10:51.880+07:00
121,1765487451970,2025-12-12T04:10:51.970+07:00
122,1765487452055,2025-12-12T04:10:52.055+07:00
123,1765487452146,2025-12-12T04:10:52.146+07:00
124,1765487452233,2025-12-12T04:10:52.233+07:00
125,1765487452328,2025-12-12T04:10:52.328+07:00
126,1765487452407,2025-12-12T04:10:52.407+07:00
127,1765487452485,2025-12-12T04:10:52.485+07:00
128,1765487452571,2025-12-12T04:10:52.571+07:00
129,1765487452663,2025-12-12T04:10:52.663+07:00
130,1765487452751,2025-12-12T04:10:52.751+07:00
